Time,X,Y,Z
1622214974579,-0.13434409,0.6090895,0.83876663
1622214974620,-0.06314903,0.65980375,0.74270207
1622214974662,-0.05364011,0.66882503,0.71710116
1622214974704,-0.04169299,0.66614306,0.7366066
1622214974746,-0.066562496,0.66980034,0.76025707
1622214974788,-0.038523346,0.65151393,0.73806953
1622214974831,-0.05997939,0.6683374,0.7263662
1622214974872,-0.066318676,0.66638684,0.75099194
1622214974914,-0.06339285,0.65614647,0.7434336
1622214974956,-0.091432,0.6734576,0.7685469
1622214974999,-0.07290178,0.66199815,0.73441225
1622214975042,-0.052908644,0.7061293,0.74221444
1622214975084,-0.03340316,0.652733,0.7780558
1622214975126,-0.075096145,0.6546836,0.7288044
1622214975168,-0.08289834,0.6749205,0.71588206
1622214975218,-0.058516476,0.66224194,0.7451403
1622214975259,-0.066318676,0.6612667,0.76025707
1622214975300,-0.06851304,0.6629734,0.7405077
1622214975341,-0.072170325,0.67101943,0.7297797
1622214975382,-0.075096145,0.6654116,0.74733466
1622214975424,-0.0692445,0.66492397,0.76171994
1622214975465,-0.060710847,0.66102284,0.7424583
1622214975506,-0.040961534,0.66199815,0.7363628
1622214975550,-0.027063873,0.65127015,0.71124953
1622214975591,-0.055346835,0.6624858,0.76050085
1622214975632,-0.05997939,0.6571218,0.74294597
1622214975675,-0.055590656,0.66102284,0.7229528
1622214975716,-0.056809746,0.66029143,0.7061293
1622214975758,-0.028039146,0.64273643,0.64371175
1622214975799,-0.004876373,0.5947042,0.70125294
1622214975841,-0.09240727,0.6246939,0.94750977
1622214975882,-0.11361949,0.5920221,0.8080455
1622214975922,-0.008046015,0.55130446,0.5937289
1622214975964,-0.069000676,0.558619,0.7753738
1622214976005,-0.1516552,0.5137564,1.0287014
1622214976046,-0.14994848,0.44253087,1.0118779
1622214976088,-0.12654188,0.321353,1.0662495
1622214976130,-0.094114,0.14751029,1.1827948
1622214976179,-0.035353705,0.09167582,1.0087082
1622214976220,-0.024381867,0.03974244,1.0257756
1622214976262,-0.24991412,-0.19261673,0.88972473
1622214976303,0.0082898345,-0.018774036,0.71368766
1622214976343,-0.13019916,0.049982823,0.76927835
1622214976384,0.14653501,0.1450721,0.77049744
1622214976426,0.0073145595,0.23577262,0.73319316
1622214976466,-0.087287076,0.5283855,1.1776747
1622214976508,-0.30135986,0.61250293,1.5646453
1622214976551,-0.3698729,0.6915002,2.0074198
1622214976591,-1.3990619,0.38572112,1.530023
1622214976632,-0.8443745,0.15555629,0.89898986
1622214976675,-0.36353362,-0.012434752,0.64273643
1622214976716,-0.23235917,-0.19139764,0.4991273
