Time,X,Y,Z
1622822935209,-0.121665515,0.22870189,1.0535709
1622822935251,-0.11288804,0.30526096,0.6915002
1622822935291,-0.11093749,0.2577163,0.70003384
1622822935332,-0.16482142,0.11044985,1.2593539
1622822935375,-0.10801167,0.0902129,1.5565993
1622822935416,-0.15994504,0.11605768,1.6404729
1622822935458,-0.11386331,0.084117435,1.9030657
1622822935500,-0.16384614,0.072414145,1.59049
1622822935542,-0.18335164,-0.080703974,1.7889584
1622822935586,-0.371092,0.039010983,0.65736556
1622822935629,-0.047544636,0.3462225,-1.7228836
1622822935671,0.38596493,-0.04559409,-3.2375154
1622822935712,0.585439,-0.88436073,-4.481021
1622822935754,-3.204844,-2.3065853,1.6758264
1622822935805,-4.6195407,-4.279139,7.9894495
1622822935852,-1.4653805,0.04388736,-2.957368
1622822935897,0.21090312,-0.6203051,-0.6861362
1622822935942,0.19700548,0.21480425,-2.4935944
1622822935988,-0.34695396,0.5427708,0.09435782
1622822936029,-0.51765746,0.52424055,1.3732172
1622822936072,-0.3947424,0.550573,1.2403361
1622822936118,-0.25844777,0.5244844,0.89362586
1622822936163,-0.02901442,0.3396394,0.93019867
1622822936205,-0.28039145,0.35378087,0.47861603
1622822936245,-0.005851648,0.2969711,0.90435386
1622822936288,-0.17798762,0.3515865,1.0408924
1622822936331,-0.1633585,0.39401096,0.8889933
1622822936372,-0.10094092,0.36767855,1.011634
1622822936415,-0.10752403,0.40985915,0.910937
1622822936456,-0.17067306,0.42058715,0.8097522
