Time,X,Y,Z
1622905664250,-0.022187497,0.029258238,1.0079768
1622905664290,-0.0129223885,0.027795328,0.9911533
1622905664334,-0.020724585,0.029502057,1.0023689
1622905664376,-0.021456042,0.029502057,0.9989555
1622905664419,-0.018530218,0.031452607,0.99212855
1622905664460,-0.020968404,0.030964969,0.9904219
1622905664501,-0.017554943,0.030964969,0.99481064
1622905664542,-0.0182864,0.030964969,1.0028566
1622905664585,-0.018774036,0.031940244,0.99237245
1622905664627,-0.02194368,0.03072115,0.9933477
1622905664668,-0.020236949,0.030233514,0.99310386
1622905664710,-0.020236949,0.02901442,0.99554205
1622905664753,-0.020236949,0.029745877,0.9982241
1622905664793,-0.019505491,0.030477332,0.9972488
1622905664835,-0.018774036,0.028282965,0.9884713
1622905664877,-0.020480767,0.029989695,0.99749255
1622905664919,-0.019749312,0.028770601,0.9916409
1622905664966,-0.018042581,0.030233514,0.99773645
1622905665007,-0.019505491,0.030233514,0.9957859
1622905665048,-0.01779876,0.031940244,0.99968696
1622905665090,-0.019505491,0.030477332,0.9962735
1622905665130,-0.019505491,0.03072115,0.9994431
1622905665172,-0.020724585,0.028526783,1.0004184
1622905665214,-0.018774036,0.03218406,0.99237245
1622905665256,-0.01779876,0.031696424,0.98895895
1622905665297,-0.018042581,0.029989695,0.9911533
1622905665340,-0.020480767,0.029989695,0.99773645
1622905665382,-0.0182864,0.029989695,1.0004184
1622905665423,-0.018774036,0.030477332,0.9940791
1622905665465,-0.020724585,0.029258238,0.98993427
1622905665506,-0.01999313,0.028526783,0.99432296
1622905665547,-0.019017855,0.031696424,0.98993427
1622905665589,-0.017067306,0.029502057,0.99383533
1622905665630,-0.0182864,0.029502057,0.9970049
1622905665672,-0.01999313,0.031452607,1.0035881
1622905665713,-0.018042581,0.029502057,0.99310386
1622905665754,-0.019749312,0.031452607,1.0004184
1622905665795,-0.019505491,0.03072115,0.9940791
1622905665840,-0.020724585,0.030477332,0.9904219
1622905665881,-0.019749312,0.02901442,0.9911533
1622905665925,-0.022187497,0.029989695,0.9957859
1622905665966,-0.018530218,0.03072115,0.99505436
1622905666007,-0.01609203,0.031696424,0.9916409
1622905666049,-0.01999313,0.028770601,0.99993074
1622905666090,-0.019017855,0.029745877,0.9960297
1622905666132,-0.018530218,0.031940244,0.9979802
1622905666173,-0.019505491,0.030477332,0.9906657
1622905666214,-0.019261673,0.030964969,0.99749255
1622905666256,-0.020236949,0.029989695,0.9989555
1622905666299,-0.020968404,0.029502057,0.99383533
1622905666342,-0.019017855,0.031208787,0.9957859
1622905666382,-0.01999313,0.029989695,0.99505436
1622905666439,-0.021212224,0.030477332,0.9989555
1622905666481,-0.018530218,0.029745877,1.000906
1622905666526,-0.018774036,0.030964969,0.9972488
1622905666567,-0.01999313,0.029745877,0.99212855
1622905666610,-0.018774036,0.028770601,0.9916409
1622905666650,-0.019749312,0.03072115,1.0070015
1622905666691,-0.019261673,0.031696424,1.0011499
1622905666732,-0.019505491,0.03072115,0.9916409
1622905666774,-0.019261673,0.029745877,0.9926162
1622905666816,-0.018042581,0.029989695,0.99310386
1622905666858,-0.018530218,0.031208787,0.99749255
1622905666899,-0.020480767,0.031452607,0.99481064
1622905666943,-0.019749312,0.029745877,0.99456674
1622905666985,-0.01999313,0.031696424,0.9979802
1622905667026,-0.020236949,0.031452607,0.98993427
1622905667067,-0.017554943,0.031696424,0.98700845
1622905667109,-0.0182864,0.031696424,0.99456674
1622905667151,-0.021456042,0.030964969,1.0043194
1622905667192,-0.022431316,0.027307691,0.9801815
1622905667233,-0.019749312,0.03413461,1.0111464
1622905667274,-0.021212224,0.030964969,1.0045633
1622905667316,-0.022918954,0.028526783,1.0011499
1622905667366,-0.016579669,0.029745877,0.9957859
1622905667407,-0.018530218,0.030477332,0.9857893
1622905667449,-0.019017855,0.031452607,0.99773645
1622905667490,-0.020724585,0.029989695,0.9957859
1622905667531,-0.020480767,0.031940244,0.99773645
1622905667571,-0.018774036,0.031940244,0.99676114
1622905667613,-0.021212224,0.029258238,0.99529827
1622905667654,-0.019261673,0.031208787,0.99676114
1622905667696,-0.019505491,0.031452607,0.99554205
1622905667736,-0.020968404,0.030964969,1.0045633
1622905667780,-0.019261673,0.031452607,0.98895895
1622905667821,-0.019749312,0.030233514,0.99188477
1622905667865,-0.020236949,0.031940244,0.9982241
1622905667908,-0.019261673,0.029258238,0.9909095
